aikido_issue_id,aikido_issue_group_id,type,status,severity,severity_score,original_cvss_severity_score,affected_package,affected_file,affected_domain,related_license,related_cve,related_cve_alias,rule,code_repo,code_repo_branch,cloud,cloud_resource,cloud_region,related_arn,container,virtual_machine,first_detected_at,closed_at,ignored_at,ignored_by,ignore_reason,snooze_reason,start_line,end_line,time_to_fix_minutes,sla_date,cwe_description,secret_liveness,installed_version,patched_version
270021042,29668955,open_source,open,critical,99,98,lodash,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-4800,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can inject own code to run",,4.17.21,4.18.1
270021046,29668955,open_source,open,medium,54,53,lodash,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2025-13465,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Abuse of JavaScript's prototype API possible (Prototype Pollution)",,4.17.21,4.17.23
270021057,29668955,open_source,open,medium,53,53,lodash,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-2950,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Abuse of JavaScript's prototype API possible (Prototype Pollution)",,4.17.21,4.18.0
270021137,29668967,open_source,open,critical,98,98,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-1525,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"HTTP request smuggling attack possible",,5.28.4,6.24.0
270021117,29668967,open_source,open,high,75,75,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-1526,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,,,5.28.4,6.24.0
270021121,29668967,open_source,open,high,75,75,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-2229,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"Attacker can abuse an uncaught exception",,5.28.4,6.24.0
270021148,29668967,open_source,open,high,75,75,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-22036,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"Attacker can trigger DOS-attack",,5.28.4,6.23.0
270021129,29668967,open_source,open,medium,68,68,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2025-22150,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can abuse lack of randomness in generated numbers",,5.28.4,5.28.5
270021198,29668967,open_source,open,medium,64,64,undici,enygma_payments/contracts/enygma/package-lock.json,,,AIKIDO-2024-10065,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,,,5.28.4,6.15.0
270021205,29668967,open_source,open,medium,64,64,undici,enygma_payments/contracts/enygma/package-lock.json,,,AIKIDO-2025-10024,CVE-2025-22150,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can abuse lack of randomness in generated numbers",,5.28.4,5.28.5
270021146,29668967,open_source,open,medium,46,46,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-1527,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"CRLF injection attack possible",,5.28.4,6.24.0
270021207,29668967,open_source,open,low,33,33,undici,enygma_payments/contracts/enygma/package-lock.json,,,AIKIDO-2026-10369,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"Abuse of JavaScript's prototype API possible (Prototype Pollution)",,5.28.4,7.23.0
270021208,29668967,open_source,open,low,33,33,undici,enygma_payments/contracts/enygma/package-lock.json,,,AIKIDO-2026-10385,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,60,,"Abuse of JavaScript's prototype API possible (Prototype Pollution)",,5.28.4,7.24.1
270021151,29668967,open_source,open,low,31,31,undici,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2025-47279,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"DoS possible due to memory leak",,5.28.4,5.29.0
270021164,29668978,open_source,open,critical,98,98,github.com/btcsuite/btcd,enygma_payments/go_client/go.mod,,,CVE-2022-44797,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,,,v0.22.1,0.23.2
